ANO_INGRESSO;CURSO;SEXO;PSELETIVO;COTAORIG;COTA;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;CR-1P;N-DISC-APRV;TX-APROVEIT;1A-OPÇÃO;ACOLHIMENTO;GRAD-PREV;TIPO-EM;MODAL-EM;CONCLUSÃO-EM;INGLÊS;LING-PROG;DESLOCAMENTO-MODAL;TEMPO-DESLOC;INTERNET;COMPUTADOR-TER;COMPUTADOR-USO;PAIS-FORMAÇÃO;MORADIA-PROPRIA;RENDA-CONTRIBUI;MORADIA-QTOS;RENDA-TOTAL1;RENDA-TOTAL2;TRABALHO;ESTADO-CIVIL;FILHOS;RELIGIAO-TIPO;RELIGIAO-FE;RELIGIAO-FREQ;CONVERSA;LAZER-FREQ
2018;IE08;M;PSC;AC;AC;;;;;;;6.530;9;0.7347;Sim;Não;Não;privada;tradicional;1;4;Não;Carona;<1h;Sim;Sim;Exclusivo;1;Própria;Mãe;2;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;1;0;3;5
2018;IE08;F;SISU;PPI2;NRenda;541.3;566.9;525.2;629.6;940.0;640.6;5.536;8;0.6531;Sim;Não;Não;pública;tradicional;1;2;Não;Ônibus;<1h;Sim;Sim;Compartilhado;0;Própria;Pai;5;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;;4;3;4
2018;IE08;F;SISU;PPI2;NRenda;625;642.4;602.5;676.7;880.0;685.3;3.514;4;0.3265;Sim;Sim;Sim;pública;tradicional;4;3;Não;Ônibus;<1h;Sim;Não;Compartilhado;0;Alugada;Outros;1;<1.5 SM;1;Não;Solteiro;Não;Não;0;0;3;3
2018;FT05;M;PSC;AC;AC;593.8;642.5;631.5;843.5;720.0;686.3;4.495;9;0.7627;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;2;Própria;Pai;6;4.5 a 6 SM;4;Não;Solteiro;Não;Sim;3;5;3;5
2018;IE08;M;SISU;NDC2;NRenda;628.7;677.8;649.2;737.2;580.0;654.6;6.799;7;0.5714;Sim;Não;Sim;pública;tradicional;6;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Outros;4;;;Não;Casado;Não;Sim;;;3;5
2018;IE08;M;SISU;AC;AC;560.7;658.7;654.3;770.1;920.0;712.8;7.302;10;0.8163;Sim;Não;Não;pública;técnico;1;4;Sim;Carona;1h-2h;Sim;Sim;Exclusivo;1;Alugada;Mãe;5;4.5 a 6 SM;4;Estágio;Solteiro;Não;Sim;4;4;1;4
2018;IE08;M;SISU;AC;AC;660.3;661.5;676.7;836.9;700.0;707.1;6.984;7;0.5714;Não;Não;Sim;privada;técnico;6;3;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;1;Própria;Eu;4;6 a 10 SM;5;Tempo integral;Casado;Sim;Não;2;0;3;4
2018;IE08;M;SISU;AC;AC;575.7;664;623.7;890.1;700.0;690.7;6.522;6;0.4898;Não;Não;Sim;privada;técnico;4;3;Sim;Ônibus;<1h;Sim;Sim;Exclusivo;0;Alugada;Mãe;6;3 a 4.5 SM;3;Informal;Solteiro;Não;Não;0;0;0;5
2018;IE08;F;PSC;AC;AC;624.8;614;639.2;665.4;820.0;672.7;7.396;9;0.7347;Sim;Sim;Não;privada;técnico;1;3;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;2;Própria;Mãe;3;> 10 SM;6;Não;Solteiro;Não;Sim;3;4;3;2
2018;IE17;M;SISU;PPI1;Renda;571.8;621.7;603.9;639.2;720.0;631.3;4.353;3;0.2727;Sim;Não;Sim;pública;tradicional;3;2;Não;Ônibus;<1h;Sim;Sim;Compartilhado;2;Própria;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;;;3;5
2018;FT05;M;PSC;PPI2;NRenda;559;572.8;429.5;695.3;760.0;603.3;4.320;8;0.6780;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Pai;5;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;4;5;3;2
2018;FT05;M;PSC;PPI1;Renda;558.2;619.4;569.6;571.2;660.0;595.7;4.056;6;0.5085;Sim;Sim;Não;privada;técnico;1;3;Sim;Ônibus;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;3;> 10 SM;6;Não;Solteiro;Não;Sim;;4;2;5
2018;FT05;M;SISU;AC;AC;600.7;709.6;619;846.6;620.0;679.2;6.409;12;10.169;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Mãe;3;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;3;1;2;5
2018;FT05;M;PSC;AC;AC;;;;;;;4.576;3;0.2542;Sim;Não;Não;pública;tradicional;1;4;Não;Ônibus;<1h;Sim;Sim;Exclusivo;0;Alugada;Pai;3;6 a 10 SM;5;Não;Solteiro;Não;Não;0;0;1;4
2018;IE08;F;PSC;AC;AC;652.2;685.1;699;794.1;800.0;726.1;6.628;9;0.7347;Sim;Não;Não;privada;tradicional;1;4;Não;Carona;<1h;Sim;Sim;Exclusivo;2;Própria;Mãe;3;;;Não;Solteiro;Não;Não;0;0;3;5
2018;IE08;M;PSC;NDC1;Renda;574.3;578.2;520.9;667.5;620.0;592.2;3.771;4;0.3265;Sim;Sim;Não;pública;tradicional;1;3;Sim;Ônibus;<1h;Sim;Sim;Compartilhado;2;Própria;Mãe;5;1.5 a 3 SM;2;Não;Solteiro;Não;Não;0;0;3;5
2018;FT05;M;SISU;AC;AC;539;577.6;576.2;760.6;760.0;642.7;4.018;5;0.4237;Sim;Sim;Não;pública;tradicional;1;2;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;2;Própria;Pai;6;6 a 10 SM;5;Não;Solteiro;Não;Sim;2;0;2;5
2018;IE17;M;SISU;PPI2;NRenda;609.3;613.5;605;741.2;640.0;641.8;5.595;8;0.7273;Sim;Não;Não;pública;tradicional;1;2;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Pai;5;6 a 10 SM;5;Não;Solteiro;Não;Sim;1;2;0;3
2018;FT05;M;PSC;AC;AC;;;;;;;8.272;12;10.169;Sim;Sim;Não;privada;técnico;1;4;Sim;Ônibus;<1h;Sim;Sim;Exclusivo;0;Alugada;Mãe;3;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;3;1;2;5
2018;IE17;M;SISU;PPI1;Renda;579.3;656.3;615.1;684.4;780.0;663.0;8.399;10;0.9091;Sim;Não;Não;pública;tradicional;1;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Mãe;5;<1.5 SM;1;Não;Solteiro;Não;Sim;4;4;3;2
2018;IE08;M;PSC;AC;AC;604.3;702.1;689.1;781.3;720.0;699.4;9.090;12;0.9796;Sim;Sim;Não;privada;técnico;1;4;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;0;Própria;Pai;6;;;Não;Solteiro;Não;Sim;2;0;2;5
2018;IE17;F;SISU;PPI1;Renda;590.1;586.5;567.8;639.3;800.0;636.7;5.072;6;0.5455;Não;Sim;Não;pública;tradicional;1;3;Não;Carona;<1h;Sim;Sim;Compartilhado;1;Própria;Pai;3;<1.5 SM;1;Não;Solteiro;Não;Sim;3;4;3;4
2018;IE08;M;PSC;PPI2;NRenda;612.5;672.8;600.7;675.9;600.0;632.4;8.067;10;0.8163;Sim;Sim;Não;pública;tradicional;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Outros;4;;;Não;Solteiro;Não;Sim;2;4;3;5
2018;IE08;M;PSC;NDC1;Renda;;;;;;;2.462;0;0.0000;Sim;Não;Não;pública;tradicional;1;4;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;2;Própria;Outros;2;<1.5 SM;1;Tempo parcial;Solteiro;Não;Sim;2;2;3;4
2018;FT05;M;SISU;NDC1;Renda;551.9;632.6;536.6;649.7;840.0;642.2;5.247;9;0.7627;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;<1h;Sim;Sim;Compartilhado;1;Própria;Outros;4;<1.5 SM;1;Não;Solteiro;Não;Sim;3;4;3;5
2018;IE17;F;PSC;PPI1;Renda;;;;;;;6.498;10;0.9091;Sim;Não;Não;pública;técnico;1;2;Sim;Ônibus;<1h;Sim;Sim;Compartilhado;0;Própria;Mãe;6;<1.5 SM;1;Não;Solteiro;Não;Sim;2;0;2;3
2018;IE08;M;SISU;AC;AC;598.4;596.6;609.8;643.9;880.0;665.7;5.127;7;0.5714;Não;Não;Não;privada;tradicional;2;3;Não;Ônibus;<1h;Sim;Sim;Compartilhado;0;Própria;Mãe;3;4.5 a 6 SM;4;Não;Solteiro;Não;Não;3;0;2;5
2018;FT05;M;PSC;AC;AC;;;;;;;4.003;4;0.3390;Sim;Não;Não;privada;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Mãe;6;;;Não;Solteiro;Não;Sim;3;;1;5
2018;IE17;M;PSC;AC;AC;581.1;591.2;537.7;560.7;720.0;598.1;5.917;7;0.6364;Não;Não;Não;privada;técnico;1;3;Sim;Ônibus;<1h;Sim;Sim;Exclusivo;2;Própria;Mãe;4;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;3;4;2;5
2018;IE08;M;SISU;AC;AC;601.3;648;628.8;641.5;740.0;651.9;1.322;0;0.0000;Sim;Não;Sim;privada;tradicional;6;4;Não;Veículo próprio;<1h;Sim;Sim;Compartilhado;2;Própria;Mãe;2;1.5 a 3 SM;2;Informal;Solteiro;Não;Sim;3;2;3;5
2018;IE08;M;PSC;AC;AC;;;;;;;9.084;12;0.9796;Sim;Sim;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Outros;6;1.5 a 3 SM;2;Não;Solteiro;Não;Não;1;0;3;2
2018;IE08;M;SISU;PPI1;Renda;593.9;631.8;541.4;729.3;680.0;635.3;8.066;11;0.8980;Sim;Sim;Não;pública;tradicional;2;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Pai;5;<1.5 SM;1;Informal;Solteiro;Não;Sim;2;0;3;4
2018;FT05;M;PSC;AC;AC;600.6;638.3;647.9;760.4;520.0;633.4;1.788;0;0.0000;Sim;Não;Não;privada;tradicional;1;4;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;2;Própria;Pai;6;;;Tempo parcial;Solteiro;Não;Sim;4;0;1;5
2018;IE17;M;SISU;AC;AC;634.7;701.4;658.2;688.3;720.0;680.5;1.248;0;0.0000;Não;Não;Sim;pública;tradicional;6;4;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Alugada;Outros;4;3 a 4.5 SM;3;Tempo parcial;Casado;Sim;Sim;3;3;3;2
2018;IE17;M;PSC;PPI1;Renda;581.6;637.9;590.7;619.5;600.0;605.9;1.634;2;0.1818;Sim;Não;Não;pública;tradicional;1;1;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Alugada;Mãe;2;<1.5 SM;1;Não;Solteiro;Não;Não;4;0;0;5
2018;IE17;M;PSC;AC;AC;;;;;;;3.918;3;0.2727;Sim;Não;Não;privada;tradicional;1;4;Não;Carona;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;4;> 10 SM;6;Não;Solteiro;Não;Sim;2;;2;5
2018;FT05;M;SISU;NDC2;NRenda;579.3;629;640.2;619.9;860.0;665.7;4.488;9;0.7627;Sim;Não;Não;pública;técnico;3;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;2;0;3;5
2018;IE08;M;SISU;AC;AC;623.8;697.3;626.3;748.6;860.0;711.2;1.500;0;0.0000;Não;Não;Sim;privada;tradicional;5;4;Sim;Veículo próprio;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;4;> 10 SM;6;Não;Solteiro;Não;Sim;2;0;3;5
2018;IE17;M;PSC;AC;AC;;;;;;;3.416;3;0.2727;Sim;Não;Sim;privada;tradicional;1;3;Não;Veículo próprio;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;4;4.5 a 6 SM;4;Não;Solteiro;Não;Sim;1;1;2;4
2018;IE17;F;PSC;PPI2;NRenda;;;;;;;6.086;8;0.7273;Não;Não;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Pai;5;;;Não;Solteiro;Não;Sim;3;4;2;5
2018;IE08;M;SISU;PPI2;NRenda;641.5;663.1;724.4;729.6;560.0;663.7;8.227;10;0.8163;Sim;Sim;Sim;pública;tradicional;5;3;Não;Ônibus;<1h;Sim;Sim;Exclusivo;0;Própria;Mãe;5;4.5 a 6 SM;4;Não;Solteiro;Não;Não;1;0;1;5
2018;IE17;M;SISU;AC;AC;553.6;637.7;650.4;700.4;700.0;648.4;4.258;5;0.4545;Sim;Não;Sim;privada;tradicional;6;4;Não;Veículo próprio;<1h;Sim;Sim;Compartilhado;2;Própria;Pai;6;;;Não;Solteiro;Não;Sim;4;0;3;4
2018;FT05;M;PSC;AC;AC;;;;;;;5.684;8;0.6780;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;2;0;2;2
2018;IE17;M;PSC;PPI1;Renda;566.6;618;499.2;653.3;520.0;571.4;5.049;6;0.5455;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Alugada;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;2;0;2;3
2018;IE08;F;SISU;PPI1;Renda;586.4;571.2;520.3;688.9;860.0;645.4;6.049;8;0.6531;Sim;Sim;Não;pública;tradicional;1;2;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Mãe;3;<1.5 SM;1;Não;Solteiro;Não;Sim;4;4;2;3
2018;IE17;F;SISU;AC;AC;590.7;679.3;638.5;741.1;660.0;661.9;4.508;2;0.1818;Sim;Não;Sim;privada;tradicional;6;4;Sim;Ônibus;<1h;Sim;Sim;Compartilhado;1;Própria;Pai;4;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;4;5;3;4
2018;IE08;M;PSC;AC;AC;619.5;646.9;599.8;721.6;740.0;665.6;6.415;10;0.8163;Sim;Sim;Não;privada;técnico;1;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Mãe;4;6 a 10 SM;5;Não;Solteiro;Não;Sim;1;0;2;5
2018;FT05;M;SISU;AC;AC;610.9;637;644.2;748.8;600.0;648.2;5.266;10;0.8475;Sim;Não;Sim;privada;técnico;2;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;2;Própria;Pai;5;6 a 10 SM;5;Não;Solteiro;Não;Sim;3;4;2;4
2018;IE17;M;PSC;AC;AC;578;666.7;638.8;817.9;980.0;736.3;8.855;10;0.9091;Sim;Não;Não;privada;técnico;1;3;Não;Ônibus;<1h;Sim;Sim;Exclusivo;1;Própria;Outros;6;1.5 a 3 SM;2;Tempo parcial;Solteiro;Não;Sim;1;4;2;3
2018;FT05;M;PSC;PPI1;Renda;;;;;;;2.920;3;0.2542;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Pai;5;<1.5 SM;1;Não;Solteiro;Não;Sim;2;4;1;5
2018;IE08;M;SISU;PPI1;Renda;482.9;523.4;580.4;648.1;780.0;603.0;0.000;0;0.0000;Sim;Não;Não;pública;tradicional;2;2;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Mãe;5;1.5 a 3 SM;2;Não;Solteiro;Sim;Sim;2;0;3;2
2018;FT05;F;SISU;AC;AC;586.5;606.6;590.5;627.4;800.0;642.2;4.008;7;0.5932;Sim;Sim;Não;privada;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Mãe;4;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;2;4;3;5
2018;IE08;M;PSC;AC;AC;;;;;;;6.743;8;0.6531;Sim;Sim;Não;privada;técnico;1;4;Sim;Carona;1h-2h;Sim;Sim;Compartilhado;0;Alugada;Pai;4;3 a 4.5 SM;3;Não;Solteiro;Não;Não;0;0;1;5
2018;IE08;M;SISU;AC;AC;601.9;612.1;636.2;734;740.0;664.8;1.392;0;0.0000;Sim;Não;Não;privada;tradicional;1;4;Não;Carona;<1h;Sim;Sim;Exclusivo;1;Alugada;Pai;5;;;Não;Solteiro;Não;Não;0;0;2;5
2018;IE17;F;SISU;AC;AC;600.8;645.5;689.2;697.3;640.0;654.6;7.346;8;0.7273;Sim;Não;Sim;privada;técnico;1;3;Sim;Carona;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;4;> 10 SM;6;Estágio;Solteiro;Não;Sim;4;5;3;4
2018;IE08;M;PSC;PPI1;Renda;592.2;643.2;595.7;627.2;680.0;627.7;8.010;11;0.8980;Sim;Sim;Não;pública;tradicional;1;3;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;2;Própria;Mãe;6;3 a 4.5 SM;3;Não;Solteiro;Não;Sim;;;3;3
2018;IE17;M;PSC;NDC1;Renda;;;;;;;4.089;3;0.2727;Sim;Não;Não;pública;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Não;Compartilhado;1;Própria;Mãe;5;<1.5 SM;1;Não;Solteiro;Não;Sim;1;1;3;3
2018;FT05;M;PSC;PPI1;Renda;;;;;;;2.070;0;0.0000;Sim;Não;Não;pública;tradicional;1;3;Não;Ônibus;<1h;Não;Sim;Compartilhado;1;Própria;Outros;4;<1.5 SM;1;Não;Solteiro;Não;Sim;2;4;2;4
2018;IE17;F;SISU;AC;AC;614.2;664.5;591.5;688.1;780.0;667.7;8.286;10;0.9091;Sim;Não;Não;pública;técnico;1;4;Sim;Ônibus;1h-2h;Sim;Sim;Exclusivo;0;Própria;Pai;4;<1.5 SM;1;Não;Solteiro;Não;Não;0;0;3;3
2018;IE17;M;SISU;PPI2;NRenda;625.7;586.1;573.2;760.5;600.0;629.1;5.877;7;0.6364;Sim;Não;Não;pública;tradicional;2;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Própria;Eu;3;1.5 a 3 SM;2;Tempo integral;Solteiro;Não;Sim;2;0;3;4
2018;FT05;M;PSC;PPI2;NRenda;604.7;714.3;574.4;702;800.0;679.1;5.377;9;0.7627;Sim;Não;Não;pública;tradicional;1;3;Sim;Ônibus;>2h;Sim;Sim;Compartilhado;1;Própria;Mãe;4;1.5 a 3 SM;2;Não;Solteiro;Não;Não;1;1;2;4
